id,book_title,book_author,book_genre,book_year,book_publisher,collection_name,collection_rank,book_star,vote_up,vote_down,image_link,amazon_link,goodreads,mega_download,torrent_download,post_text
101,The Last Englishman: Book 1,Keith Foskett,Biography & Memoir,1742,,,,,,,Cover not found,https://www.amazon.com/Last-Englishmen-Love-War-Empire/dp/1555978045,,,,
100,Winnie the Pooh and The Honey Tree,A. A. Milne,Childrens,1998,Golden Books,Childrens,1,,,,https://images-na.ssl-images-amazon.com/images/I/51xAnPkDHeL._SS500.jpg,https://www.amazon.com/Songs-Story-Winnie-Pooh-Honey/dp/B01LWPUUV7?keywords=Winnie+the+Pooh+and+The+Honey+Tree.mp3&qid=1540834759&s=Books&sr=8-1&ref=sr_1_1,https://www.goodreads.com/book/show/3296726-winnie-the-pooh-and-the-honey-tree,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA?W7J2SCAC,,
109,"On Origin of Species by Means of Natural Selection: or, The Preservation of Favored Races in the Struggle for Life",Charles Darwin,Science & Technology,2011,"Blackstone Audio, Inc.",Non-Fiction,48,,,,https://images-na.ssl-images-amazon.com/images/I/51ofbhyiw1L._SX342_.jpg,https://www.amazon.com/Origin-Species-Means-Natural-Selection/dp/B005U9H8FG/ref=sr_1_1?ie=UTF8&qid=1536666144&sr=1-1&keywords=On+the+Origin+of+Species+Charles+Darwin,https://www.goodreads.com/book/show/62555.On_Human_Nature,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!W7pFBCgA,,
115,One fish Two Fish Red fish Blue Fish (New),Dr. Seuss,Childrens,1945,Random House,Childrens,,,,,https://images-na.ssl-images-amazon.com/images/I/51KjfLJ1jTL._SX342_.jpg,https://www.amazon.com/Cat-Hat-Other-Seuss-Favorites/dp/B000EBGCOI/ref=sr_1_2?ie=UTF8&qid=1540928050&sr=8-2&keywords=dr+seuss+audio+book,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA?Oz4XFYoJ,,
116,One Flew Over the Cuckoo's Nest,Ken Kesey,Classic Literature,1962,,,,,,,https://covers.openlibrary.org/b/id/9272688-L.jpg,,,,,
118,Oh the Thinks You Can Think,Dr. Seuss,Childrens,1945,Random House,Childrens,,,,,https://images-na.ssl-images-amazon.com/images/I/61ZL7wYZhqL._AC_US218_.jpg,https://www.amazon.com/Cat-Hat-Other-Seuss-Favorites/dp/B000EBGCOI/ref=sr_1_2?ie=UTF8&qid=1540928050&sr=8-2&keywords=dr+seuss+audio+book,https://www.goodreads.com/book/show/41757.Oh_the_Thinks_You_Can_Think_,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA?XmoVWQQD,,
131,Tao Te Ching ,Read by Jacob Needleman,Non-Fiction,1989,Vintage ,,,,,,https://images-na.ssl-images-amazon.com/images/I/51JxhDrfZIL._SX342_.jpg,https://www.amazon.com/Tao-Te-Ching/dp/B01LZDP6SI/ref=sr_1_9?keywords=Tao+Te+Ching&qid=1570400030&s=books&sr=1-9,https://www.goodreads.com/book/show/67896.Tao_Te_Ching?from_search=true,https://mega.nz/#F!i3RyGKqK!T33LTUYbh0gRK5EWqEmn6g,,
133,Yertle the Turtle,Dr. Seuss,Childrens,1945,Random House,Childrens,,,,,https://images-na.ssl-images-amazon.com/images/I/51Q5lUyhFiL._SX342_.jpg,https://www.amazon.com/Cat-Hat-Other-Seuss-Favorites/dp/B000EBGCOI/ref=sr_1_2?ie=UTF8&qid=1540928050&sr=8-2&keywords=dr+seuss+audio+book,https://www.goodreads.com/book/show/420404.Yertle_the_Turtle_and_Other_Stories,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA?r7xH1IyL,,
136,Learn How to Sing Speech Level,,Non-Fiction,,,,,,,,https://images-na.ssl-images-amazon.com/images/I/51X0PcJUt5L._AC_US218_.jpg,,https://www.goodreads.com/book/show/29477246-instant-voice-training,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!PrxDhITI,,
139,Singing Success,UNK,Self-Help & Popular Psychology,2005,"Singing Success, Inc.",,,,,,https://images-na.ssl-images-amazon.com/images/I/51gKJKPPVuL._SX342_.jpg,https://www.amazon.com/Singing-Voice-Improvement-Guided-Meditation/dp/B079SKCXHH/ref=sr_1_1?ie=UTF8&qid=1540856687&sr=1-1&keywords=Singing+Success,https://www.goodreads.com/book/show/18681676-singing-success,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA?r2hThKzJ,,
